Date,dsp_toxins_Berbigão,asp_toxins_Berbigão,psp_toxins_Berbigão,dsp_toxins_Mexilhão,asp_toxins_Mexilhão,psp_toxins_Mexilhão
2018-07-01,36.0,3.3,71.0,484.0,1.8,71.0
2018-07-08,36.0,1.8,71.0,338.0,1.8,71.0
2018-07-15,36.0,1.8,71.0,136.0,1.8,71.0
2018-07-22,36.0,1.8,71.0,108.0,1.8,71.0
2018-07-29,36.0,1.8,71.0,105.0,1.8,71.0
2018-08-05,36.0,1.8,71.0,36.0,1.8,71.0
2018-08-12,36.0,1.8,71.0,36.0,1.8,71.0
2018-08-19,36.0,1.8,71.0,36.0,1.8,71.0
2018-08-26,36.0,1.8,5.0,36.0,1.8,33.0
2018-09-02,36.0,1.8,71.0,36.0,1.8,55.0
2018-09-09,36.0,1.8,71.0,36.0,1.8,36.0
2018-09-16,36.0,1.8,71.0,36.0,1.8,29.0
2018-09-23,36.0,1.8,71.0,36.0,1.8,71.0
2018-09-30,36.0,1.8,71.0,36.0,1.8,21.0
2018-10-07,36.0,1.8,71.0,36.0,1.8,71.0
2018-10-14,36.0,1.8,71.0,36.0,,
2018-10-21,36.0,1.8,71.0,36.0,1.8,71.0
2018-10-28,36.0,1.8,71.0,36.0,1.8,71.0
2018-11-04,36.0,1.8,71.0,36.0,1.8,71.0
2018-11-11,36.0,1.8,71.0,36.0,1.8,71.0
2018-11-18,36.0,1.8,71.0,36.0,1.8,71.0
2018-11-25,27.0,1.8,71.0,114.0,1.8,71.0
2018-12-02,36.0,1.8,71.0,26.0,1.8,71.0
2018-12-09,36.0,1.8,71.0,19.0,1.8,71.0
2018-12-16,,,,31.0,1.8,71.0
2018-12-23,,,,36.0,1.8,71.0
2018-12-30,36.0,1.8,71.0,36.0,1.8,71.0
2019-01-06,36.0,1.8,71.0,36.0,1.8,71.0
2019-01-13,36.0,1.8,71.0,36.0,1.8,71.0
2019-01-20,36.0,4.0,71.0,36.0,1.8,71.0
2019-01-27,36.0,2.0,71.0,36.0,1.8,71.0
2019-02-03,36.0,1.8,71.0,36.0,1.8,71.0
2019-02-10,36.0,1.8,71.0,29.5,1.8,71.0
2019-02-17,36.0,1.8,71.0,32.75,,
2019-02-24,36.0,1.8,71.0,36.0,1.8,71.0
2019-03-03,79.1,1.8,71.0,36.0,1.8,71.0
2019-03-10,108.0,1.8,71.0,155.0,1.8,71.0
2019-03-17,73.0,1.8,71.0,117.0,1.8,71.0
2019-03-24,36.0,1.8,71.0,36.0,1.8,71.0
2019-03-31,36.0,1.8,71.0,36.0,1.8,71.0
2019-04-07,36.0,1.8,71.0,40.0,1.8,71.0
2019-04-14,36.0,1.8,71.0,36.0,1.8,71.0
2019-04-21,84.0,7.0,71.0,80.0,3.0,71.0
2019-04-28,297.0,25.0,71.0,90.5,,
2019-05-05,36.0,1.8,71.0,101.0,1.8,71.0
2019-05-12,172.0,1.8,71.0,153.0,1.8,71.0
2019-05-19,75.0,1.8,,173.0,1.8,
2019-05-26,538.0,1.8,,263.0,1.8,
2019-06-02,36.0,1.8,,187.0,1.8,
2019-06-09,36.0,1.8,,191.0,1.8,
2019-06-16,36.0,1.8,,85.0,1.8,
2019-06-23,36.0,1.8,,36.0,1.8,
2019-06-30,36.0,1.8,,36.0,1.8,
2019-07-07,36.0,1.8,,86.0,1.8,
2019-07-14,36.0,1.8,,30.0,1.8,
2019-07-21,36.0,1.8,71.0,36.0,1.8,71.0
2019-07-28,93.0,1.8,71.0,102.0,,71.0
2019-08-04,36.0,1.8,71.0,27.0,1.8,71.0
2019-08-11,550.0,,71.0,490.0,4.0,71.0
2019-08-18,,,,510.0,,
2019-08-25,550.0,1.8,71.0,530.0,,
2019-09-01,550.0,1.8,71.0,550.0,1.8,71.0
2019-09-08,,,,550.0,1.8,71.0
2019-09-15,,,,550.0,,
2019-09-22,217.0,1.8,71.0,550.0,,
2019-09-29,500.0,,71.0,550.0,1.8,71.0
